,video_id,width,height,duration
503,fiY1Q4m0tjo,1280,720,380.901
504,Zlb3PU6A5SQ,1920,1080,380.924
505,v68inea6Nas,1920,1080,380.947
506,-ELVGXTmABQ,640,480,381.000
507,8eM3MdkHfXk,316,240,381.249
508,F7cyVozED7Y,640,360,381.249
509,xckw8PpXPEs,1280,720,381.365
510,blsEQc1U6wM,1920,1080,381.620
511,jaZLlj8UrWc,320,240,381.737
512,HYNK34ERPgk,1920,1080,381.946
513,QLKOc623vxg,640,360,382.271
514,gaf-K4SM0VU,480,360,382.433
515,wrvIZo_3r7k,1280,720,382.433
516,Wrj1870A6gY,1920,1080,382.456
517,_GWLcCJjwwk,1280,720,382.805
518,Kt9uIGlB64E,1920,1080,382.805
519,eWjmvVlUr90,320,240,382.967
520,47sYONqpFrY,1920,1080,383.408
521,xYd9uUBbHbU,640,360,383.408
522,bioBeQ89SxU,540,360,383.431
523,PPRhJKiVx7E,1920,1080,383.500
524,pFH6hVAb2yg,480,360,383.664
525,RifdTdEfOcM,640,360,383.767
526,W1ZAXWKEaDo,1920,1080,383.896
527,REI7bhmmp24,1280,720,384.035
528,ajmHDHj31rk,1920,1080,384.059
529,QWZ5Qf1GA6g,1280,720,384.082
530,N7H9MXw2cxg,1920,1080,384.151
531,Z6RWdK5alTA,1920,1080,384.221
532,6cDaU021ROA,1920,1080,384.244
533,CIuhc3-AcF4,1920,1080,384.430
534,W1VKjHe4DTY,1280,720,384.500
535,-_6__hLKygA,1280,720,384.667
536,Urbh4jKJ6X4,1920,1080,385.034
537,iQGXUisr-70,1280,720,385.173
538,TWeMTwwBw8c,1280,720,385.220
539,v8cjXs7tLRc,1280,720,385.289
540,Wq_NE1L-_X8,854,480,385.545
541,d4k_EOpsemI,720,480,385.591
542,BfDHHUJK-mo,480,360,385.823
543,3bngVTlr7VE,1920,1080,385.846
544,4_yFpDcmAFo,1920,1080,385.939
545,9pG1f2OKIyQ,320,240,386.590
546,R8iS4Illx8o,1280,720,386.659
547,paRgOKXYfKM,640,360,386.752
548,3M3ggXQPWfs,1920,1080,386.938
549,CKk7WOT8n8s,1920,1080,387.053
550,aZ7vodkn88U,1920,1080,387.193
551,JMNVICNHeYo,1280,720,387.495
552,JO1isoTcazM,1920,1080,387.634
553,R84qCmITEhU,640,480,387.704
554,k_PlryrI83A,854,480,387.751
555,WnHmZu_NliI,640,360,388.052
556,CxkYizd11AE,400,226,388.168
557,5Z-agSerUuU,1920,1080,388.331
558,SCfi8laB7Uc,1920,1080,388.517
559,0a0KjnkGKi0,640,360,388.567
560,eQ5ZKjpjzWY,654,480,388.726
561,nDbVJ38GmZ4,1280,720,388.726
562,TAXUj0XZRYU,400,300,389.097
563,F_bgNI8B7AA,1920,1080,389.422
564,hky7d1PkjeE,1280,720,389.422
565,SysEISTt1rs,1280,720,389.492
566,s8Y3NDE5ApU,640,360,389.631
567,o9qU_l9LMn8,1280,720,389.701
568,gSpN9AGqgo4,640,480,389.747
569,8NdU3q9fUlo,1276,720,389.817
570,l3_kDNjuk6Y,640,360,389.817
571,2OZ3mCITNYM,1920,1080,389.840
572,c4igwdey3TQ,320,240,390.026
573,oiSolzqXIBg,640,480,390.073
574,nGgKAcfrg3U,492,360,390.142
575,2QGFGBE0ZYY,316,240,390.189
576,XAx-ch8CwpE,1280,720,390.189
577,RrFZsHoQ3jU,1920,1080,390.398
578,8GdNK7pCId8,480,360,390.444
579,u9lgmVCooGI,1920,1080,390.560
580,xBJwMRJSzEg,1920,1080,391.025
581,jxNz7TrPX7E,640,480,391.442
582,wnPXnxp76ys,480,360,391.791
583,eq6qVCcr3Xg,1280,720,391.860
584,jn3LINYSZBs,854,480,392.000
585,hwCSDV4esEs,1280,720,392.034
586,HFfPRmvJ9dY,640,480,392.418
587,rAnjXLl3Z1U,490,360,392.418
588,__YK_9ggKBY,640,480,392.487
589,eV3bEMCisS4,640,360,392.487
590,G30vtnQV3lg,640,480,392.487
591,jcWwKH9Ofk8,480,360,392.511
592,Vp8MxCjfn0Q,640,480,392.603
593,Dpjmtjf1-dw,1920,1080,393.045
594,J0d1tov8EbE,1280,720,393.045
595,Nstb7yMcW5U,1280,720,393.184
596,pK20YYZgi7s,1280,720,393.509
597,rqfPB90-S7E,854,480,393.579
598,AMGTBtL9nK0,316,240,393.927
599,-WpEMj7iHSE,1280,720,393.934
600,mCHUj2VtbxQ,1280,720,394.020
601,1jvcudMh-mc,1920,1080,394.066
602,6VSNV71b75M,1920,1080,394.066
603,3FVY0DiTCMo,540,360,394.159
604,sUYcMGm4IhI,1920,1080,394.182
605,5KUu8AqWdhc,1920,1080,394.322
606,HAZnpXasyfs,854,480,394.415
607,jAmoFByYDpU,640,360,394.717
608,TgJoNXs1jfA,640,480,394.809
609,CTtbzhB84U8,640,480,394.833
610,2b9B8X6l76c,1280,720,395.088
611,8dWoHL4xmw0,1920,1080,395.158
612,Y77ibIMyGMs,490,360,395.204
613,KpJa2ctvI-o,1920,1080,395.227
614,m_lW7v5oQzk,480,360,395.367
615,BYXg5gNmjqk,1280,720,395.390
