video_id,frame_rate,batch_size,min_face_size,max_frame_size,width,height,video_length,detection_length
l-bUeN_Xzcw,6.0,78,20,,1280,720,1264.8333333333333,849.4550278186798
mvrDJ-rMs_8,6.0,174,20,,854,480,2516.9,1653.301408290863
MxlJhLtaDK0,6.0,46,20,,1920,1080,859.1333333333333,867.9565601348877
Pv6riyAAvjY,6.0,34,20,,1920,1080,1304.1333333333334,1893.1937172412872
PVJMDT1K73I,6.0,308,20,,640,360,1271.2,377.90366291999817
QwoGcTLAS0Q,6.0,256,20,,640,480,557.9333333333333,363.04302525520325
r93suYNwcuE,6.0,412,20,,480,360,496.7,89.2567687034607
rGtEyPmtQDY,6.0,34,20,,1920,1080,433.23333333333335,571.4130578041077
u159fUSRxG8,6.0,34,20,,1920,1080,911.5,925.9660115242004
wOxeHyodJqw,6.0,534,20,,420,320,363.1,95.21021389961243
wYZ76l6sDCE,6.0,38,20,,1920,1080,1004.8333333333334,927.9141194820404
x8DClIxtZms,6.0,240,20,,854,480,423.3,128.50974440574646
YekvbVTlncI,6.0,1024,20,,320,240,406.4,89.35052609443665
yS9pnOV37Dk,6.0,34,20,,1920,1080,3171.366666666667,5489.79133105278
yWte7V-4fbk,6.0,94,20,,1280,720,1972.0,1318.975032567978
